"Channel","Contribution","percent_contribution"
"AOD",324.550946157,27.7631262775912
"Yahoo!",263.293972211,22.5230087454019
"Google Search",245.115822286,20.9679916430434
"Criteo",203.020856073,17.3670535577879
"Straits Times",56.615224042,4.84304739494367
"Facebook",33.477029849,2.86373223711654
"LinkedIn",11.285041083,0.965358518731823
"Twitter",7.813706938,0.668409490049195
"Forbes",7.198474068,0.615780502020696
"GSP",6.592492472,0.563942897567971
"Business Times",5.742870613,0.491263525534318
"OutBrain",3.050924412,0.260985835095261
"Dianomi",1.242639695,0.106299375116113
